"(55.885715, -3.342351)",Larchfield
"(55.8895828, -3.08267)",Eskbank
"(55.919876, -3.2726683)",Dumbryden Drive
"(55.93890620000001, -3.1914437)",Argyle Place
"(55.8760732, -3.1643297)",Dryden Avenue
"(55.8285452, -3.7087567)",Church Place
"(55.97107219999999, -3.607638)",Preston Road
"(55.8975476, -3.7036545)",George Street
"(55.9470632, -3.1833794)",West Adam Street
"(55.9383831, -3.197315)",Warrender Park Road
"(55.9669366, -3.171614)",Halmyre Street
"(55.9733542, -3.2058914)",Denham Green Avenue
"(55.5530841, -2.8354436)",Curror Street
"(55.85229289999999, -3.5686917)",Polbeth Terrace
